user_id,campaign_id,click_time,ad_impressions,ad_clicks,ad_spend,engagement_duration
440,61,2023-04-24,97,4,9.19,7
103,59,2023-06-29,102,6,17.05,39
157,30,2023-04-25,91,3,5.96,0
13,85,2023-04-09,100,4,9.71,2
205,43,2023-05-23,82,4,8.88,11
443,9,2023-05-23,92,6,13.42,9
180,83,2023-09-18,103,2,5.59,1
205,87,2023-10-02,122,4,7.42,41
170,4,2023-03-01,107,6,13.38,56
450,34,2023-04-02,92,3,8.91,43
298,34,2023-01-20,118,6,16.73,1
56,77,2023-08-11,106,9,26.35,129
177,94,2023-06-10,99,7,9.08,61
224,78,2023-09-19,91,2,4.48,4
60,50,2023-10-23,107,4,7.39,31
98,33,2023-01-23,95,7,14.28,9
363,56,2023-01-01,101,7,20.96,15
267,69,2023-12-18,108,5,10.34,51
369,95,2023-12-10,98,6,6.58,3
101,47,2023-08-09,96,4,4.34,0
36,86,2023-06-19,98,6,6.27,89
320,41,2023-12-06,109,5,13.49,72
435,16,2023-06-03,99,3,8.93,3
260,40,2023-12-08,121,7,12.47,9
210,42,2023-07-26,89,3,7.35,6
357,38,2023-10-11,97,6,5.31,50
66,25,2023-08-04,91,5,9.91,21
341,49,2023-12-13,84,3,2.47,32
384,23,2023-11-12,110,6,4.3,15
292,39,2023-07-27,96,6,10.44,2
281,1,2023-06-05,91,2,5.26,6
147,27,2023-08-09,99,7,9.59,39
403,75,2023-11-07,102,8,19.95,42
336,42,2023-08-27,106,6,13.2,28
227,57,2023-12-12,108,8,21.44,1
110,66,2023-08-31,111,4,9.44,3
407,95,2023-03-28,110,5,2.58,8
338,11,2023-05-26,104,6,11.1,45
264,85,2023-11-21,85,4,11.63,8
318,43,2023-02-17,104,2,5.69,11
420,97,2023-05-01,81,5,3.34,21
345,40,2023-04-26,95,1,2.68,18
413,26,2023-03-17,87,1,0.56,1
13,6,2023-05-06,100,6,9.69,9
244,79,2023-02-07,99,7,15.64,8
234,54,2023-11-19,83,5,5.92,75
295,25,2023-12-23,88,8,12.39,40
197,64,2023-07-24,97,10,15.23,112
125,19,2023-12-02,91,1,2.13,2
353,1,2023-02-24,113,10,9.64,101
399,55,2023-04-23,109,8,19.22,39
91,90,2023-09-23,87,7,14.29,55
238,7,2023-10-13,99,3,6.64,8
128,16,2023-08-22,90,2,3.91,3
69,60,2023-12-08,109,5,2.65,1
272,72,2023-11-01,97,5,6.15,29
163,97,2023-08-15,112,2,3.4,1
314,93,2023-09-16,88,5,11.28,20
219,71,2023-08-17,100,4,2.33,1
460,21,2023-09-01,97,5,11.12,40
231,34,2023-05-07,90,2,4.18,12
431,82,2023-05-22,78,5,13.39,31
393,100,2023-09-24,110,8,5.6,90
249,81,2023-05-03,101,5,10.54,18
141,57,2023-02-09,107,2,2.24,1
366,37,2023-05-01,113,11,14.76,11
140,43,2023-06-13,109,5,9.44,31
458,70,2023-02-11,90,2,1.15,2
71,20,2023-04-29,99,6,14.14,16
197,89,2023-03-20,95,10,6.0,100
362,28,2023-02-02,102,6,10.3,62
213,53,2023-06-19,115,4,7.92,48
278,60,2023-08-01,91,5,11.66,3
32,27,2023-08-04,106,3,3.28,53
200,99,2023-10-27,100,7,11.29,25
485,90,2023-01-11,96,3,4.43,52
439,98,2023-10-22,92,4,9.73,2
195,62,2023-01-04,92,3,5.4,6
483,46,2023-06-02,111,4,8.17,24
386,50,2023-08-03,89,1,2.34,5
276,96,2023-10-07,99,7,13.74,70
410,78,2023-04-23,91,3,1.93,11
250,29,2023-05-20,120,3,4.89,40
224,63,2023-01-15,94,1,0.87,21
200,44,2023-12-09,128,11,23.08,111
348,52,2023-03-26,99,5,10.84,3
431,60,2023-03-07,106,6,17.55,2
319,69,2023-01-14,105,8,7.54,47
465,51,2023-10-31,105,6,16.03,25
289,85,2023-01-14,106,3,6.44,7
43,83,2023-08-08,104,6,17.99,1
70,60,2023-04-04,113,6,14.08,63
26,34,2023-07-14,97,6,15.12,43
168,28,2023-08-21,109,7,5.6,27
168,44,2023-07-14,96,6,8.83,17
143,97,2023-08-04,92,3,2.05,13
130,11,2023-08-29,105,5,7.25,49
10,96,2023-10-04,100,1,1.35,2
27,45,2023-04-25,97,5,10.1,36
333,9,2023-11-30,110,10,5.46,10
21,97,2023-01-16,115,9,5.86,122
487,32,2023-04-13,96,5,5.71,8
430,3,2023-11-15,94,5,6.39,23
79,31,2023-03-06,107,5,4.02,4
243,86,2023-02-28,105,5,11.36,2
289,28,2023-08-27,102,9,15.38,73
359,33,2023-07-08,101,6,17.27,27
86,78,2023-11-07,110,4,4.12,18
494,96,2023-02-28,97,8,11.07,10
399,21,2023-06-09,109,8,12.47,44
56,75,2023-01-14,84,4,7.87,3
476,40,2023-10-22,107,4,2.96,0
347,49,2023-07-23,104,5,5.4,12
483,92,2023-04-12,103,11,9.25,65
39,76,2023-12-20,97,6,13.39,142
426,81,2023-05-05,87,5,9.73,8
53,90,2023-06-04,83,7,6.86,13
436,88,2023-11-04,91,2,3.6,0
413,16,2023-10-17,110,6,16.2,31
401,6,2023-06-27,101,4,8.69,102
273,55,2023-12-05,105,7,11.64,2
190,9,2023-09-17,102,3,6.68,3
332,44,2023-01-07,101,5,11.95,10
435,54,2023-09-08,105,9,9.78,22
55,56,2023-07-05,118,8,14.42,39
326,59,2023-12-29,84,2,5.13,15
79,56,2023-04-01,106,4,4.63,8
376,67,2023-11-30,84,4,5.06,10
139,79,2023-10-03,98,5,13.99,17
397,62,2023-08-27,91,2,5.09,4
224,94,2023-10-31,110,4,2.81,10
138,42,2023-05-06,89,4,11.76,20
426,12,2023-05-23,111,8,22.46,26
452,58,2023-05-05,103,3,5.27,7
385,60,2023-10-19,88,2,1.13,1
313,86,2023-07-14,128,5,8.83,14
173,4,2023-09-11,85,3,6.15,15
436,42,2023-04-04,88,6,9.9,1
250,28,2023-07-01,92,2,2.52,1
409,34,2023-06-24,106,5,14.96,42
144,77,2023-12-26,103,6,10.91,16
451,36,2023-10-12,87,4,3.95,9
6,67,2023-04-08,97,6,14.54,0
44,31,2023-07-28,97,1,1.15,7
251,72,2023-05-04,87,3,1.59,4
354,61,2023-11-27,125,3,5.61,9
365,63,2023-08-18,112,5,4.38,9
406,3,2023-02-17,107,5,7.43,15
151,29,2023-07-27,94,4,4.55,36
355,32,2023-06-06,99,6,16.43,30
340,75,2023-07-08,103,5,4.38,33
243,71,2023-09-29,100,2,1.42,12
177,55,,82,0,0.0,0
170,46,2023-12-26,96,4,9.75,21
233,35,2023-06-06,90,2,4.3,14
129,30,2023-03-03,93,2,5.84,3
370,25,2023-06-11,108,5,5.07,3
62,96,2023-10-02,103,6,10.95,1
487,98,2023-12-20,103,7,17.71,37
95,25,2023-04-21,87,7,7.43,16
379,62,2023-05-22,98,5,14.29,6
371,76,2023-09-26,86,7,14.8,11
306,37,2023-02-21,110,8,22.38,11
427,25,2023-06-01,108,8,18.57,59
117,47,2023-04-02,105,5,14.81,69
155,2,2023-12-29,75,2,4.63,17
274,17,2023-05-21,91,7,16.32,27
24,7,2023-10-11,103,4,7.65,23
150,90,2023-03-06,113,7,6.3,21
327,97,2023-09-09,85,6,6.06,24
53,2,2023-10-21,107,3,4.17,22
146,61,2023-09-03,101,7,4.12,47
226,44,2023-04-05,96,3,3.79,31
495,7,2023-05-10,98,8,15.86,19
482,62,,97,0,0.0,0
421,9,2023-07-25,109,6,10.21,30
252,10,2023-10-23,81,4,7.61,18
323,88,2023-01-28,105,4,10.25,13
78,20,2023-10-16,82,3,7.39,18
486,39,2023-02-13,109,5,4.34,9
128,16,2023-10-13,98,3,5.99,19
392,54,2023-11-07,104,6,14.78,3
306,80,2023-04-26,97,4,7.72,17
398,67,2023-07-14,90,3,1.7,0
231,57,2023-06-02,111,6,7.48,84
441,76,2023-08-08,93,7,18.23,7
157,73,2023-11-14,110,5,4.17,2
31,79,2023-02-20,107,5,11.62,36
486,98,2023-04-17,88,2,4.76,10
321,28,2023-05-16,124,3,3.62,4
339,11,2023-03-22,92,3,3.54,21
123,23,2023-10-10,98,2,3.44,0
39,21,2023-01-02,87,4,5.47,46
210,58,2023-12-19,120,5,5.75,32
305,61,2023-05-30,105,5,8.3,89
17,30,2023-05-28,103,3,2.63,3
362,37,2023-12-26,92,5,9.04,3
441,59,2023-02-06,112,2,4.54,7
352,30,2023-05-16,83,4,3.66,58
404,81,2023-10-29,112,5,7.65,26
339,26,2023-08-06,101,5,12.58,15
59,70,2023-04-26,90,2,2.65,14
332,20,2023-05-17,100,8,21.59,81
424,19,2023-02-06,92,10,24.3,1
31,22,2023-06-07,81,7,12.93,24
305,96,2023-10-19,85,6,8.71,44
472,37,2023-08-13,128,6,7.31,47
64,60,2023-12-19,102,7,10.43,86
156,90,2023-07-26,101,6,14.9,11
483,35,2023-09-14,87,3,8.2,15
277,64,2023-08-13,88,5,3.54,53
42,77,2023-01-21,110,10,15.44,207
456,56,2023-06-15,105,3,8.11,8
310,33,2023-01-14,89,5,9.09,31
47,30,2023-12-12,114,7,6.78,68
429,74,2023-10-28,110,7,9.0,22
487,3,2023-12-11,111,5,8.68,44
421,35,2023-10-23,95,6,15.39,3
21,98,2023-03-31,92,4,6.5,27
241,67,2023-11-30,104,4,10.41,12
227,36,2023-04-03,87,3,6.65,1
300,56,2023-11-22,89,3,7.78,4
417,63,2023-02-16,104,5,6.32,5
241,45,2023-07-29,104,8,19.32,62
171,42,2023-12-10,105,8,17.41,32
54,21,2023-06-18,86,4,10.65,15
211,89,2023-09-11,86,1,2.35,12
148,85,2023-07-25,93,3,8.33,21
417,98,2023-10-09,110,10,23.17,18
19,59,2023-02-15,111,8,6.25,48
162,33,2023-06-15,101,3,1.59,9
60,99,2023-07-26,94,3,3.75,20
443,66,2023-01-01,112,6,16.38,6
337,70,2023-08-25,83,6,3.52,26
212,7,2023-04-07,101,7,13.98,4
266,47,2023-11-15,105,8,15.44,29
388,64,2023-11-17,98,4,9.74,18
227,98,2023-01-27,115,6,12.47,26
105,35,2023-10-09,106,5,3.8,12
68,37,2023-08-13,100,9,18.01,61
451,90,2023-09-06,100,2,2.27,4
63,4,2023-11-19,99,3,3.58,53
312,31,2023-12-30,95,3,6.08,4
82,40,,91,0,0.0,0
8,71,2023-07-28,73,3,7.52,12
48,29,2023-02-28,100,8,11.94,3
237,16,2023-11-28,103,4,7.07,41
427,20,2023-09-13,100,11,9.12,17
478,92,2023-05-30,97,4,11.08,25
261,91,2023-05-20,103,7,20.21,60
213,62,2023-08-30,78,1,2.01,5
125,59,2023-10-10,86,4,5.69,2
75,50,2023-04-08,98,2,1.4,4
472,77,2023-09-18,120,7,9.83,31
383,18,2023-02-05,116,9,20.79,5
142,99,2023-08-01,115,6,5.13,0
175,65,2023-05-17,98,5,9.71,1
421,1,2023-05-25,86,3,6.97,15
372,39,2023-10-28,112,5,10.91,8
297,85,2023-09-08,94,4,9.98,34
444,20,2023-08-17,98,5,7.14,22
276,62,2023-06-26,106,4,3.67,11
171,71,2023-10-06,88,3,2.66,0
194,59,2023-06-14,104,4,2.72,10
446,25,2023-12-24,94,5,7.06,6
123,74,2023-07-16,106,5,2.84,17
120,100,2023-07-30,127,2,1.15,4
23,41,2023-08-31,88,6,9.88,10
362,49,2023-07-17,115,10,12.85,109
340,84,2023-03-19,103,10,12.21,162
254,5,2023-03-06,97,4,7.41,3
258,76,2023-06-19,101,7,18.09,20
446,13,2023-08-14,94,3,1.93,6
52,68,2023-08-22,102,5,4.24,14
8,93,2023-03-15,104,5,14.92,53
210,84,2023-03-21,104,6,6.02,15
39,61,2023-05-16,101,9,24.96,57
174,80,2023-12-21,101,3,7.43,1
204,84,2023-02-11,109,8,22.88,6
437,43,2023-12-12,99,5,13.29,22
440,69,2023-07-14,96,3,7.21,7
489,41,2023-11-17,100,5,13.32,98
368,98,2023-09-07,97,6,11.6,93
447,70,2023-01-19,90,7,11.19,65
317,9,2023-05-01,115,9,14.59,32
324,88,2023-05-28,104,1,1.69,5
117,96,2023-02-16,107,3,3.75,6
223,13,2023-11-21,110,4,11.57,0
361,13,2023-08-16,111,1,2.34,8
86,89,2023-06-03,107,7,16.96,37
463,4,2023-01-24,108,6,4.33,20
167,8,2023-05-31,82,3,2.0,6
184,48,2023-08-09,86,8,5.45,124
75,32,2023-09-29,101,2,3.5,15
211,73,2023-12-16,106,2,3.01,3
406,24,2023-03-29,92,6,16.94,15
90,11,2023-11-09,116,6,6.39,30
446,49,2023-11-14,96,2,5.44,6
350,31,2023-09-12,98,5,3.4,28
468,75,2023-03-15,92,6,15.06,24
119,60,2023-11-23,101,7,8.25,24
131,59,2023-05-11,93,5,3.18,34
342,2,2023-08-27,94,5,3.09,8
462,37,2023-12-13,106,8,4.08,11
280,21,2023-02-07,107,3,4.2,4
227,45,2023-10-28,112,7,19.11,19
154,82,2023-08-06,116,10,7.23,58
354,33,2023-08-22,100,6,13.56,0
433,39,2023-04-12,89,5,14.58,35
197,62,2023-02-24,123,5,3.82,38
122,49,2023-10-20,104,4,11.57,13
184,74,2023-06-01,98,3,4.27,6
359,38,2023-01-12,98,7,7.21,37
425,85,2023-07-22,99,3,6.58,14
141,2,2023-10-17,94,5,11.73,9
443,88,2023-01-26,104,6,5.99,66
467,78,2023-09-12,93,2,1.56,7
427,37,2023-04-28,93,1,1.45,2
311,46,2023-04-23,97,4,7.31,18
326,25,2023-11-14,105,7,17.03,25
129,87,2023-12-04,110,4,2.18,6
349,18,2023-11-18,109,4,5.72,0
50,81,2023-11-27,94,9,23.56,1
21,40,2023-08-14,115,7,11.51,17
18,75,2023-07-06,94,3,3.35,9
375,17,2023-02-16,108,2,5.79,28
466,38,2023-06-17,101,2,2.83,2
383,54,2023-03-31,90,5,12.27,21
103,17,2023-10-04,88,5,7.35,28
449,47,2023-09-29,93,8,9.81,25
257,35,2023-03-26,114,2,1.74,0
132,62,2023-06-01,104,3,8.68,11
383,44,2023-02-28,92,5,3.45,8
240,10,2023-03-14,110,6,9.49,1
387,29,2023-12-13,89,3,1.87,27
371,87,2023-07-23,112,10,9.92,151
496,72,2023-07-07,93,5,3.41,24
47,51,2023-01-08,108,5,11.48,7
136,69,2023-03-05,104,3,5.74,22
233,48,2023-12-11,100,1,1.39,13
384,87,2023-05-15,91,3,3.91,28
300,49,2023-11-23,107,5,2.86,16
482,48,2023-02-25,105,4,5.98,50
346,30,2023-08-30,108,5,11.93,62
13,80,2023-10-15,123,5,12.34,7
168,79,2023-04-24,102,6,6.61,6
332,9,2023-11-22,117,6,6.31,1
422,60,2023-12-25,72,6,7.24,90
155,84,2023-07-29,102,5,8.96,35
60,18,2023-01-24,93,7,20.06,78
485,5,2023-06-05,98,5,8.72,5
253,15,2023-02-19,103,4,10.55,4
121,69,2023-03-11,82,7,12.37,18
199,59,2023-07-09,110,4,8.94,29
344,96,2023-12-23,105,8,14.78,13
485,70,2023-08-03,98,3,7.24,0
301,96,2023-03-21,98,2,5.87,2
454,54,2023-12-02,94,3,1.51,19
51,63,2023-11-12,129,7,16.48,66
209,36,2023-01-17,98,4,9.13,33
354,48,2023-04-22,90,7,17.62,146
228,57,2023-05-01,108,6,12.92,2
438,47,2023-02-20,101,3,7.35,13
352,48,2023-10-06,123,5,10.02,8
462,83,2023-07-03,106,3,5.35,10
32,51,2023-05-22,96,7,15.7,43
98,16,2023-08-21,99,6,13.93,59
47,85,2023-04-19,93,3,4.09,6
329,82,2023-11-02,106,5,14.34,17
498,3,2023-01-26,96,6,14.02,14
403,43,2023-05-05,92,6,11.2,102
65,73,2023-04-16,78,5,13.28,4
36,98,2023-10-11,110,5,4.15,50
107,76,2023-04-21,88,3,8.04,16
417,30,2023-06-18,109,6,11.58,53
397,19,2023-11-02,116,7,4.41,27
2,36,2023-03-16,93,4,8.21,8
67,70,2023-05-09,107,2,4.92,3
409,23,2023-02-26,98,4,2.57,9
339,4,2023-03-09,121,7,14.56,7
8,46,2023-05-02,98,2,2.39,3
302,42,2023-01-09,98,2,3.59,1
90,34,2023-01-27,131,6,14.07,36
65,95,2023-08-04,98,4,4.64,4
270,15,2023-02-02,99,4,8.57,69
244,58,2023-07-05,103,2,5.76,3
263,76,2023-02-25,84,5,10.61,7
232,65,2023-04-24,92,6,12.15,11
485,79,2023-01-23,93,7,20.07,3
373,85,2023-09-24,107,3,5.91,18
155,59,2023-11-26,105,1,1.96,1
494,4,2023-02-01,98,4,10.4,4
246,52,2023-08-07,85,4,2.93,27
352,14,2023-09-09,117,4,6.34,25
365,57,2023-02-07,103,4,9.14,1
461,11,2023-06-14,90,6,3.21,8
312,19,2023-02-03,91,3,1.97,9
65,36,2023-11-16,107,6,4.22,90
325,75,2023-10-08,111,8,22.65,31
365,42,2023-07-15,90,6,14.07,22
306,68,2023-05-31,81,7,13.73,27
233,65,2023-11-06,93,7,15.16,54
221,13,2023-12-26,99,3,6.79,8
59,84,2023-11-30,98,8,5.28,69
450,99,2023-10-10,94,1,1.25,3
370,28,2023-08-09,79,7,5.34,50
232,30,2023-07-31,97,3,2.7,2
174,59,2023-07-24,81,5,13.52,42
213,94,2023-02-18,105,4,5.1,5
161,55,2023-06-10,100,4,5.54,35
341,33,2023-07-11,109,9,25.94,17
489,20,2023-12-18,96,8,21.53,4
473,61,2023-02-04,97,5,4.92,48
47,11,2023-02-17,105,8,18.97,23
222,13,2023-07-10,103,6,5.69,35
416,17,2023-10-12,91,3,1.51,19
31,76,2023-10-15,107,3,2.13,0
288,43,2023-12-10,89,3,4.16,1
63,53,2023-07-01,91,5,5.57,1
448,86,2023-08-05,97,3,8.7,14
445,93,2023-01-27,102,5,9.26,29
496,37,2023-11-04,106,5,7.65,51
160,46,2023-02-23,104,3,6.04,1
296,65,2023-04-19,95,6,6.09,14
80,85,2023-09-04,115,6,9.29,0
115,14,2023-06-29,109,5,9.51,24
433,72,2023-07-08,106,1,2.31,3
59,98,2023-05-23,111,8,13.7,16
294,29,2023-08-08,109,3,7.91,32
433,72,2023-11-15,99,4,10.04,46
315,87,2023-11-26,90,7,10.31,27
286,4,2023-11-08,130,7,4.8,16
476,85,2023-12-22,110,13,24.67,25
137,4,2023-04-03,91,4,2.69,9
140,90,2023-06-08,99,6,13.63,0
472,44,2023-06-29,91,4,2.05,32
4,24,2023-03-15,109,2,4.83,8
290,85,2023-07-25,109,7,12.57,5
36,19,2023-11-21,105,7,6.47,7
498,4,2023-02-16,114,9,21.57,40
383,68,2023-04-21,105,6,12.49,5
193,54,2023-08-21,99,4,4.02,7
175,21,2023-07-09,92,4,11.08,14
160,93,2023-06-16,90,5,7.28,43
398,73,2023-11-02,105,4,8.92,6
44,7,2023-03-21,120,5,5.87,5
81,97,2023-11-13,106,6,6.97,32
26,87,2023-02-11,110,7,6.79,3
140,57,2023-12-05,106,5,2.89,7
218,63,2023-11-07,92,1,2.17,1
227,54,2023-05-20,115,5,13.76,139
111,97,2023-09-20,92,2,1.47,68
59,45,2023-08-09,95,7,18.52,211
57,37,2023-12-14,92,4,3.3,0
348,76,2023-09-07,96,5,6.41,26
270,86,2023-06-07,92,6,12.36,43
24,29,2023-07-22,103,6,15.97,26
307,8,2023-01-04,108,7,10.31,9
105,39,2023-04-19,103,9,12.19,33
393,18,2023-05-11,110,6,3.8,18
149,42,2023-03-03,105,4,11.42,3
4,64,2023-08-09,100,6,12.73,9
90,17,2023-07-14,88,5,4.74,30
273,91,2023-04-28,99,7,6.47,0
257,72,2023-12-09,109,7,18.17,56
413,46,2023-02-06,126,6,9.03,5
204,95,2023-01-22,102,8,15.66,35
224,3,2023-08-24,96,1,1.56,0
472,10,2023-06-10,103,8,17.18,9
295,55,2023-10-21,90,3,7.52,88
208,91,2023-11-24,99,2,2.68,0
214,38,2023-02-28,83,1,1.03,1
208,3,2023-06-16,99,2,1.84,1
88,80,2023-08-24,93,4,4.99,5
426,89,2023-07-05,87,3,6.55,0
46,56,2023-02-24,91,2,2.71,19
125,56,2023-10-29,88,4,5.02,16
206,68,2023-02-10,110,6,10.58,4
203,40,2023-06-23,104,5,3.53,15
114,43,2023-03-28,94,2,3.09,6
40,66,2023-11-21,107,6,14.66,59
59,68,2023-09-19,94,7,20.82,77
100,100,2023-06-28,96,5,11.77,16
180,94,2023-11-27,99,4,10.6,10
